名称,地址,电话,营业时间
秀茂坪商場,九龍觀塘秀茂坪村秀茂坪購物商場1樓102 舖,2354 8534,星期一至日: 08:00-23:00
葵興,新界葵涌葵興村葵興購物中心15號地舖,3586 1462,星期一至日: 08:00-23:00
華明,新界粉嶺華明邨華明商場地下21號14A舖,2450 0567,星期一至日: 08:30-22:00
真善美,九龍土瓜灣真善美村志真樓地下29-37號舖,2712 5316,星期一至日: 08:30-21:30
南昌街,九龍南昌街223-237號地下102室,2779 2515,星期一至日: 07:30-23:00
碧湖花園,新界粉嶺碧湖花園上層31號,2677 9324,星期一至日: 08:30-21:30
大坑東,九龍大坑東村東龍樓地下4-10號,2776 2922,星期一至日: 08:30-21:30
花都廣場,新界粉嶺花都廣場地下132號舖,2682 1458,星期一至日: 08:00-23:00
新都城三期,"新界將軍澳新都城中心三期 1 樓 132D, OSA 132D, 132E, 134A & 134B 舖",2371 3510,星期一至日: 08:00-23:00
順寧道,九龍順寧道麗寶花園地下4號,2743 7438,星期一至日: 08:30-22:30
多喜大廈,九龍牛頭角定富街9-17號及定安街86-88號多喜大廈地下2-3號商舖,2628 4308,星期一至日: 09:00-21:00
馬頭角道,九龍土瓜灣馬頭角道40號東南工廠大廈地下A舖,3426 4023,星期一至日: 08:00-23:00
宇宙商場,九龍長沙灣青山道164-170號宇宙大廈宇宙商場地庫,2344 6866,星期一至日: 09:00-21:30
新葵興,"新界葵涌興芳道166-174號新葵興商場9-22, 26-34號",2485 0582,星期一至日: 07:30-21:30
葵涌,新界葵涌葵涌商場2樓213號舖,2279 4034,星期一至日: 07:30-23:00
元州2,九龍長沙灣元州街元州村元州商場二樓F01號舖,2783 0718,星期一至日: 07:30-23:00
深水埗,九龍深水埗福榮街520-530號地下,2742 6685,星期一至日: 08:00-23:00
粉嶺中心,新界粉嶺中心2期1樓243-244號,2677 1206,星期一至日: 08:30-21:30
石圍角,新界荃灣石圍角村停車場大樓地下,2411 6797,星期一至日: 08:00-22:00
南都大廈,九龍大埔道168-178號南都大廈1樓,2715 1192,星期一至日: 08:30-22:00
翔龍灣,九龍土瓜灣新碼頭街38號翔龍灣廣場1樓127-130B舖,3665 0709,星期一至日: 08:00-22:00
花園大廈,九龍觀塘牛頭角道297號花園大廈玉蓮臺第三座地下15-18號舖,2372 0213,星期一至日: 08:00-22:00
觀塘,九龍觀塘宜安街22-26號地下,2797 9012,星期一至日: 07:00-02:00
翠屏,九龍觀塘翠屏道19號翠屏北邨翠屏商場1F號舖,2792 6533,星期一至日: 08:00-23:00
黃金中心,九龍深水埗欽州街94號黃金中心地庫,2728 5275,星期一至日: 08:30-22:30
中華,九龍馬頭角馬坑涌道5D-5F中華商場地下5號舖,2712 4429,星期一至日: 08:00-23:00
葵盛,新界葵涌葵盛東村葵盛購物商場1樓114 號舖,2463 5509,星期一至日: 08:00-22:00
金山,新界葵涌華景山莊商業中心1樓2號,2785 2846,星期一至日: 09:00-21:30
土瓜灣,"九龍土瓜灣道331-361號, 新碼頭街2-6號, 美景街79-111號, 昌景閣地下3, 4 及22 號舖",2793 6708,星期一至日: 08:00-22:00
祥華,新界粉嶺新運路38號祥華邨祥華商場二樓L210號舖,2455 7298,星期一至日: 08:00-22:00
石安大廈,九龍深水埗長沙灣道102-108號石安大厦地下C-E號舖,2861 0203,星期一至日: 09:00-21:30
大窩口,新界荃灣大窩口村商場 2 樓 C7 號舖,2410 8015,星期一至日: 08:30-22:30
葵芳,新界葵涌興芳路177號葵芳廣場一樓116D號舖,2458 0152,星期一至日: 08:30-22:30
彌敦道,九龍彌敦道794-802號協成行太子中心地庫,2397 1148,星期一至日: 08:30-22:30
,九龍深水埗麗翠苑麗翠商埸地下5號舖,2756 5728,星期一至日: 08:30-21:30
柏宜中心,九龍旺角彌敦道771-775柏宜中心2號地舖及地庫,2154 1367,星期一至日: 09:00-22:00
華都中心,新界荃灣西樓角路華都中心地下,3580 8420,星期一至日: 08:00-21:00
